AAF	AIGLE AZUR - France	AIGLE AZUR
RPA	REPUBLIC AIRLINES, INC. (INDIANAPOLIS, IN) - United States of America	BRICKYARD
RPB	AEROREPUBLICA - Colombia	AEROREPUBLICA
RUN	ACT HAVAYOLLARI A.S. - Turkey	CARGO TURK
RWD	RWANDAIR EXPRESS  - Rwanda	RWANDAIR
RZO	SATA INTERNACIONAL - Portugal	AIR AZORES
SAA	SOUTH AFRICAN AIRWAYS (SAA) - South Africa	SPRINGBOK
SAS	SCANDINAVIAN AIRLINES SYSTEM - Sweden	SCANDINAVIAN
SAT	SERVICO ACOREANO DE TRANSPORTES AEREOS - EP (SATA) - Portugal	SATA
SBI	SIBERIA AIRLINES - Russian Federation	SIBERIAN AIRLINES
SCW	MALMO AVIATION AB - Sweden	SCANWING
SCX	MN AIRLINES, LLC, D/B/A SUN COUNTRY AIRLINES (MENDOTA HEIGHTS, MN) - United States of America	SUN COUNTRY
SDM	ROSSIYA AIRLINES, OPEN JSC - Russian Federation	RUSSIA
SEY	AIR SEYCHELLES - Seychelles	SEYCHELLES
SFR	SAFAIR  (PTY.) LTD - South Africa	CARGO
SFW	SAFI AIRWAYS - Afghanistan	SAFI AIRWAYS
SHU	SAKHALINSKIE AVIATRASSY (SAT) - Russian Federation	SATAIR
SIA	SINGAPORE AIRLINES LIMITED - Singapore	SINGAPORE
SKK	ASKY - Togo	ASKY AIRLINE
SKU	SKY SERVICE - Chile	AEROSKY
SKV	SKY REGIONAL AIRLINES INC. - Canada	MAPLE
SKW	SKY WEST AVIATION, INC. (ST. GEORGE, UT) - United States of America	SKYWEST
SLI	AEROLITORAL, S.A. DE C.V. - Mexico	COSTERA
SLK	SILKAIR (SINGAPORE) PTE LTD - Singapore	SILKAIR
SLM	SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V. - Suriname	SURINAM
SMR	SOMON AIR - Tajikistan	SOMON AIR
SOL	SOLOMON AIRLINES LIMITED - Solomon Islands	SOLOMON
SOO	SOUTHERN AIR, INC. (COLUMBUS, OH) - United States of America	SOUTHERN AIR
